                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0256,                 2.1321,                 1.0602,                0.46559,                0.21143,                0.23947,                0.17071,                 1.1397,                 3.0513,                 1.3979,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.1791,                 1.7783,                 1.1169,                0.40491,                0.28571,                0.24713,                0.18654,                 1.2632,                 3.0211,                 1.5143,              0.0013098,              0.0013098,              0.0013098
                      3,                 1.2476,                  1.729,                 1.1842,                0.27701,                 0.3109,                0.21704,                0.13677,                 1.5032,                 4.5942,                 1.7137,              0.0019504,              0.0019504,              0.0019504
                      4,                 1.2237,                 1.6345,                 1.1776,                0.38961,                0.38286,                0.30667,                 0.1914,                 1.4443,                 3.3472,                  1.574,              0.0019412,              0.0019412,              0.0019412
                      5,                 1.2291,                 1.5504,                 1.1828,                0.49722,                0.33143,                0.31573,                0.19418,                 1.3504,                 3.3276,                 1.4753,              0.0019216,              0.0019216,              0.0019216
                      6,                  1.214,                 1.4365,                 1.1803,                0.36824,                0.51626,                0.34939,                0.22428,                 1.2772,                 2.8331,                 1.4999,               0.001902,               0.001902,               0.001902
                      7,                 1.2292,                 1.3988,                  1.162,                0.50875,                0.46857,                0.42026,                0.29886,                 1.2259,                 2.5302,                 1.3386,              0.0018824,              0.0018824,              0.0018824
                      8,                 1.1441,                 1.2834,                 1.1311,                0.46248,                0.53143,                 0.4542,                 0.3247,                 1.3113,                 1.8184,                 1.5076,              0.0018628,              0.0018628,              0.0018628
                      9,                 1.1348,                 1.2489,                 1.1254,                0.44788,                0.52845,                0.42585,                0.29667,                 1.1164,                  1.864,                 1.2988,              0.0018432,              0.0018432,              0.0018432
                     10,                 1.0906,                 1.2467,                 1.1112,                0.51474,                0.48571,                0.41015,                0.26988,                 1.2522,                 1.9597,                 1.4146,              0.0018236,              0.0018236,              0.0018236
                     11,                 1.0965,                 1.2061,                 1.0984,                0.48384,                   0.56,                0.44007,                0.30815,                 1.1849,                 2.3149,                 1.3577,               0.001804,               0.001804,               0.001804
                     12,                 1.0852,                 1.1392,                 1.1097,                0.36406,                0.58286,                0.39533,                0.28344,                 1.1585,                 2.0276,                 1.3237,              0.0017844,              0.0017844,              0.0017844
                     13,                 1.0898,                 1.1605,                 1.0941,                0.52237,                0.49373,                0.43018,                0.31092,                 1.1572,                 1.7838,                 1.2543,              0.0017648,              0.0017648,              0.0017648
                     14,                 1.0916,                 1.1327,                  1.112,                0.43981,                0.56978,                0.40273,                0.27194,                 1.0806,                 2.0647,                  1.257,              0.0017451,              0.0017451,              0.0017451
                     15,                 1.0665,                 1.1342,                 1.0897,                0.44179,                0.46286,                 0.3974,                0.29192,                 1.1668,                 2.0271,                  1.354,              0.0017255,              0.0017255,              0.0017255
                     16,                  1.055,                 1.0958,                 1.0745,                0.46201,                0.59429,                0.41808,                0.29421,                 1.0801,                 2.4441,                 1.2715,              0.0017059,              0.0017059,              0.0017059
                     17,                 1.0523,                 1.0184,                 1.0801,                0.56349,                0.59429,                0.55748,                0.38462,                 1.1558,                 1.4225,                  1.336,              0.0016863,              0.0016863,              0.0016863
                     18,                  1.037,                 1.0195,                  1.076,                0.52613,                0.57714,                0.52737,                0.39333,                 1.1193,                 1.5437,                 1.3164,              0.0016667,              0.0016667,              0.0016667
                     19,                0.99741,                0.98236,                  1.066,                0.40238,                0.55429,                0.39807,                  0.274,                 1.1965,                 1.9775,                 1.3088,              0.0016471,              0.0016471,              0.0016471
                     20,                 1.0272,                 1.0098,                 1.0808,                0.59362,                0.58286,                0.54263,                0.39693,                  1.079,                 1.5235,                 1.2569,              0.0016275,              0.0016275,              0.0016275
